pair,are_same_entity,confidence,left_norm,right_norm
7,True,0.95,united south and eastern tribes sovereignty protection fund,uset sovereignty protection fund
8,False,0.8,verizon,verizon services
9,False,0.9,american free enterprise chamber of commerce,nebraska chamber of commerce and industry
10,True,0.95,assn of oil pipe lines,assn of oil pipelines
1,True,0.9,american conservative union fdn,american conservative union fdn nolan ctr for justice
2,False,0.8,her justice,natl justice for our neighbors
3,False,0.9,first amendment coalition,pennsylvania ctr for the first amendment
4,False,0.95,arizona coalition to end sexual and domestic violence,georgia coalition against domestic violence
5,False,0.9,justice policy inst,maine heritage policy ctr
6,True,0.85,loaves and fishes,sacramento loaves and fishes
7,False,0.9,minnesota coalition against sexual assault,minnesota indian womens sexual assault coalition
8,False,0.95,rhode island assn of criminal lawyers,rhode island hospitality assn
9,False,0.7,internet accountability project,internet works
10,False,0.95,arizona chamber of commerce and industry,south carolina chamber of commerce
1,False,0.9,federal defender for the district of arizona,federal defenders for the middle district of alabama
2,False,0.95,apartment assn of los angeles county,asian pacific american bar assn of los angeles county
3,True,0.85,gas and oil assn of west virginia,west virginia oil and natural gas assn
4,False,0.95,assn of criminal defense lawyers of new jersey,puerto rico assn of criminal defense lawyers
5,False,0.9,disability rights education and defense fund,women’s equal rights legal defense and education fund
6,False,0.7,ctr for public justice,public justice ctr (maryland)
7,False,0.95,alabama criminal defense lawyers assn,florida assn of criminal defense lawyers-miami chapter
8,False,0.9,american mining rights assn,natl mining assn
9,False,0.9,central florida assn of criminal defense lawyers,natl assn of criminal defense lawyers
10,False,0.95,d.c. assn of criminal defense lawyers,ohio assn of criminal defense lawyers
1,False,0.9,alliance defending freedom,citizens defending freedom
2,False,0.8,immigrant legal ctr,natl immigrant justice ctr
3,False,1.0,aclu of massachusetts,trucking assn of massachusetts
4,True,0.85,assn for government accountability,fdn for government accountability
5,False,0.9,paterson education fund,reproaction
6,False,0.95,vanderbilt university,vanderbilt university medical ctr
7,False,1.0,tampa bay access force,tampa bay rays
8,False,0.9,arizona chamber of commerce and industry,united states chamber of commerce
9,False,1.0,american assn of university professors,american assn of university women
10,False,0.9,kentucky league of cities,natl league of cities
1,False,0.9,j n j construction,pride fdn
2,False,0.95,disability rights california,indiana disability rights
3,False,0.85,legal aid soc,legal aid soc of rockland county
4,False,0.95,league of california cities,league of women voters of california
5,False,0.9,american health care assn,american unity fund
6,True,0.95,susan b. anthony list,susan b. anthony pro-life america
7,False,0.95,aclu of puerto rico,georgia assn of criminal defense lawyers
8,True,0.99,diocesan migrant and refugee services,diocesan migrant and refugee services.
9,False,0.99,illinois sheriffs’ assn,oklahoma sheriffs’ assn
10,False,0.9,ghp management corporation,oak management corporation
1,False,0.9,colorado republican comm,natl republican senatorial comm
2,False,0.95,council of independent colleges,natl council on independent living
3,False,0.9,columbia college,columbia university
4,False,0.95,amica ctr for immigrant rights,children’s rights
5,True,0.85,downsize dc fdn.,downsize dc.org
6,True,0.8,catholicvote,catholicvote.org educational fund
7,False,0.95,ctr for american progress,ctr for medical progress
8,False,0.9,community legal services,pangea legal services
9,False,0.95,rocky mountain immigrant advocacy network,rocky mountain veterans advocacy project
10,False,0.9,stand up michigan,stand-up mobile
1,True,0.95,americans for immigrant justice,americans for immigrant justice (ai justice)
2,False,0.9,jewish council for public affairs,oklahoma council of public affairs
3,False,0.95,alameda county public defender,dallas county public defender’s office
4,False,0.95,indiana health care assn,north carolina healthcare assn
5,False,0.9,alliance for justice,pacific justice inst
6,False,0.95,natl louis university,washington university in st. louis
7,False,0.8,california water research,water
8,True,1.0,ujima.: the natl ctr on violence against women in the black community,ujima: the natl ctr on violence against women in the black community
9,False,0.9,arkansas state chamber of commerce,u.s. chamber of commerce fdn
10,True,0.9,frontier communications corporation,frontier communications parent
1,False,0.9,americans for peace now,veterans for peace
2,False,0.9,operation save america,save jobs usa
3,False,0.95,boise metro chamber of commerce,montana chamber of commerce
4,False,0.95,pennsylvania manufacturers assn,west virginia hospital assn
5,False,0.9,federal defender for the eastern district of california,federal public defender for the central district of california
6,True,0.95,league of women voters,league of women voters of south carolina
7,False,0.95,trinity college,washington university in st. louis
8,False,0.95,assn of american colleges and universities,assn of american medical colleges
9,False,0.95,mississippi college,mississippi public defenders assn
10,False,0.9,federal public defender district of nevada,federal public defender for the district of alaska
1,False,0.95,aclu of mississippi,mississippi trucking assn
2,False,0.95,colorado state university,iowa state university
3,False,0.9,federal defender for the eastern district of california,federal public defender for the district of arizona
4,False,0.9,new jersey assn of women lawyers,new jersey muslim lawyers assn
5,False,0.95,assn of criminal defense lawyers of new jersey,florida assn of criminal defense lawyers-miami chapter
6,False,0.9,aclu of kentucky fdn,family fdn
7,False,0.85,access reproductive justice,reproductive health access project
8,False,0.8,ctr for justice and freedom,freedom and justice fdn
9,False,0.9,texas city attorneys assn,texas district and county attorneys assn
10,False,0.9,disability rights new york,natl disability rights network
1,False,0.9,aclu fdn of texas,aclu of michigan
2,False,0.95,conservative legal defense and education fund,mexican american legal defense and educational fund
3,False,0.8,california water fdn,water
4,False,0.9,arizona county treasurers assn,michigan assn of county treasurers
5,False,0.9,georgia coalition against domestic violence,kansas coalition against sexual and domestic violence
6,False,0.9,kentucky league of cities,league of oregon cities
7,False,0.9,california assn of realtors®,wisconsin realtors assn
8,False,0.85,california employment law council,natl employment lawyers assn
9,False,0.85,new jersey second amendment soc,second amendment law ctr
10,False,0.9,e-watch,judicial watch
1,False,1.0,american car rental assn,american dental assn
2,False,0.9,access justice,reproductive justice action collective
3,False,0.9,asian american bar assn of new york,assn of the bar of the city of new york
4,False,1.0,american g.i. forum,louisiana family forum
5,False,0.95,american ctr for law and justice,software freedom law ctr
6,True,0.95,40 days for life,forty days for life
7,False,0.9,seattle mennonite church,u.t.o.p.i.a. seattle
8,False,1.0,assn of california cities-orange county,orange county coastkeeper
9,False,1.0,asian american legal defense and education fund,genital autonomy legal defense and education fund
10,False,1.0,conservative legal defense and education fund,transgender legal defense and education fund
1,False,0.9,california chamber of commerce,south carolina chamber of commerce
2,True,0.85,freeport-mcmoran,freeport-mcmoran oil and gas
3,False,0.95,military / veterans coalition of indiana,women’s coalition
4,True,0.95,oklahoma criminal defense lawyers assn,oklahoma criminal defense lawyer’s assn
5,False,0.9,dallas baptist university,first baptist church dallas
6,False,0.9,cameroon advocacy network,span parent advocacy network
7,False,0.9,american independent natl comm,independent inst
8,False,0.9,akanthos opportunity fund l.p.,corbin opportunity fund l.p.
9,False,0.85,california peace officers’ assn,california reserve peace officers assn
10,False,0.95,california chamber of commerce,united states chamber of commerce
1,False,0.9,colorado criminal defense bar,texas criminal defense lawyers assn
